FunctionID,FunctionName,Dim,Algorithm,Runs,MaxIters,PopOrSwarm,Mean,Std,Best,Worst
F6,Shifted Rosenbrock,2,GA,15,500,40,392.063398674815,5.8223167978851,390.015042763927,413.004116464292
F6,Shifted Rosenbrock,2,PSO,15,500,40,390.000000000089,3.44348113145974e-10,390,390.000000001334
F6,Shifted Rosenbrock,10,GA,15,500,40,532134.280825682,386685.669886224,94162.9783621363,1327149.15627908
F6,Shifted Rosenbrock,10,PSO,15,500,40,1072.85203895475,2604.6303512276,390.081863021183,10487.6934750664
F9,Shifted Rastrigin,2,GA,15,500,40,-329.987902227164,0.0115877387560913,-329.999276317469,-329.958778776373
F9,Shifted Rastrigin,2,PSO,15,500,40,-330,0,-330,-330
F9,Shifted Rastrigin,10,GA,15,500,40,-304.444116041357,7.4500375632668,-315.046676396622,-284.729813475154
F9,Shifted Rastrigin,10,PSO,15,500,40,-321.443357325109,3.90449264251471,-326.020163771627,-311.095813225399
